source_path,json_path,from_slot,to_slot,from_vertex,to_vertex,edge_id,segment_role,anchor_limit,selection_score
artifacts/json/g900_return_cell_conserved_packet_scout_001.v1.json,packet_candidate.rows[0],3,9,3:23,9:23,tuple_edge_611,03_09,,
artifacts/json/g900_return_cell_conserved_packet_scout_001.v1.json,packet_candidate.rows[1],9,12,9:24,12:24,,09_12,,
artifacts/json/g900_return_cell_conserved_packet_scout_001.v1.json,packet_candidate.rows[2],6,12,6:23,12:23,tuple_edge_1472,06_12,,
artifacts/json/g900_return_cell_conserved_packet_scout_001.v1.json,packet_candidate.rows[3],6,13,6:24,13:24,tuple_edge_1475,06_13,,
artifacts/json/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,packet_candidate.signature.segment_rows[0],3,9,3:23,9:23,tuple_edge_611,03_09,23,0|0|0|0|611
artifacts/json/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,packet_candidate.signature.segment_rows[1],9,12,9:54,12:24,tuple_edge_2425,09_12,24,1|0|30|30|2425
artifacts/json/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,packet_candidate.signature.segment_rows[2],6,12,6:23,12:23,tuple_edge_1472,06_12,23,0|0|0|0|1472
artifacts/json/g900_return_cell_carrier_incidence_packet_scout_002.v1.json,packet_candidate.signature.segment_rows[3],6,13,6:24,13:24,tuple_edge_1475,06_13,24,0|0|0|0|1475
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h0.packet[0],3,9,,,,03_09,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h0.packet[1],9,12,,,,09_12,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h0.packet[2],6,12,,,,06_12,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h0.packet[3],6,13,,,,06_13,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h0.role_anchor_signature[0],3,9,,,,03_09,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h0.role_anchor_signature[1],9,12,,,,09_12,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h0.role_anchor_signature[2],6,12,,,,06_12,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h0.role_anchor_signature[3],6,13,,,,06_13,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h1.packet[0],3,9,3:23,9:23,tuple_edge_611,03_09,23,0|0|0|0|611
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h1.packet[1],9,12,9:54,12:24,tuple_edge_2425,09_12,24,1|0|30|30|2425
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h1.packet[2],6,12,6:23,12:23,tuple_edge_1472,06_12,23,0|0|0|0|1472
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h1.packet[3],6,13,6:24,13:24,tuple_edge_1475,06_13,24,0|0|0|0|1475
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h1.role_anchor_signature[0],3,9,,,,03_09,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h1.role_anchor_signature[1],9,12,,,,09_12,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h1.role_anchor_signature[2],6,12,,,,06_12,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.h1.role_anchor_signature[3],6,13,,,,06_13,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.conservation.p_signature[0],3,9,,,,03_09,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.conservation.p_signature[1],9,12,,,,09_12,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.conservation.p_signature[2],6,12,,,,06_12,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.conservation.p_signature[3],6,13,,,,06_13,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.conservation.q_signature[0],3,9,,,,03_09,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.conservation.q_signature[1],9,12,,,,09_12,24,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.conservation.q_signature[2],6,12,,,,06_12,23,
artifacts/json/g900_return_cell_one_step_information_transport_support_audit_006.v1.json,history_candidate.conservation.q_signature[3],6,13,,,,06_13,24,
